round,category,question,answer,difficulty,points,host_notes
1,General Knowledge,What is the largest planet in our solar system?,Jupiter,easy,1,
1,General Knowledge,How many sides does a standard stop sign have?,8,easy,1,Accept eight
1,General Knowledge,What is the capital of Canada?,Ottawa,medium,1,
1,General Knowledge,What is the smallest U.S. state by area?,Rhode Island,medium,1,
1,General Knowledge,What element has the chemical symbol Au?,Gold,medium,1,
1,General Knowledge,How many keys are on a standard modern piano?,88,hard,1,
1,General Knowledge,What is the only mammal capable of true sustained flight?,Bat,hard,1,Accept bats
1,General Knowledge,What is the name of the line at 0 degrees latitude?,Equator,easy,1,
2,History,In what year did the United States declare independence?,1776,easy,1,
2,History,Who was the first president of the United States?,George Washington,easy,1,
2,History,Which ancient civilization built Machu Picchu?,Inca,medium,1,Accept Incan Empire
2,History,The Berlin Wall fell in what year?,1989,medium,1,
2,History,Who wrote the Declaration of Independence?,Thomas Jefferson,medium,1,
2,History,What ship carried the Pilgrims to North America in 1620?,Mayflower,easy,1,
2,History,Which U.S. president issued the Emancipation Proclamation?,Abraham Lincoln,hard,1,
2,History,Which empire used Constantinople as its capital for most of its history?,Byzantine Empire,hard,1,Accept Eastern Roman Empire
3,Science & Nature,What gas do plants absorb from the atmosphere?,Carbon dioxide,easy,1,Accept CO2
3,Science & Nature,How many bones are normally in an adult human body?,206,medium,1,
3,Science & Nature,What is the hardest natural substance?,Diamond,easy,1,
3,Science & Nature,What planet is known as the Red Planet?,Mars,easy,1,
3,Science & Nature,What is the process by which plants convert light into chemical energy?,Photosynthesis,medium,1,
3,Science & Nature,What is the largest organ of the human body?,Skin,medium,1,
3,Science & Nature,What scale is traditionally used to rank mineral hardness?,Mohs scale,hard,1,
3,Science & Nature,What is the scientific name for the study of fungi?,Mycology,hard,1,
4,"Movies, TV & Music",Which 1985 movie features a DeLorean time machine?,Back to the Future,easy,1,
4,"Movies, TV & Music",Who played Dorothy in the 1939 film The Wizard of Oz?,Judy Garland,easy,1,
4,"Movies, TV & Music",Which group recorded the 1976 hit Dancing Queen?,ABBA,easy,1,
4,"Movies, TV & Music",Who performed Billie Jean?,Michael Jackson,medium,1,
4,"Movies, TV & Music",What sitcom featured the characters Sam Malone and Diane Chambers?,Cheers,medium,1,
4,"Movies, TV & Music",Which band released Hotel California in 1976?,Eagles,medium,1,Accept The Eagles
4,"Movies, TV & Music",What 1965 film musical features the von Trapp family?,The Sound of Music,hard,1,
4,"Movies, TV & Music",Which singer released the 1990 hit Vision of Love?,Mariah Carey,hard,1,
5,Local & Wildcard,What Illinois city is nicknamed the Windy City?,Chicago,easy,1,
5,Local & Wildcard,What Great Lake borders the Chicago shoreline?,Lake Michigan,easy,1,
5,Local & Wildcard,What MLB team plays at Wrigley Field?,Chicago Cubs,easy,1,Accept Cubs
5,Local & Wildcard,What NFL team plays its home games in Chicago?,Chicago Bears,medium,1,Accept Bears
5,Local & Wildcard,What is the state capital of Illinois?,Springfield,medium,1,
5,Local & Wildcard,Which Chicago NBA team won six championships in the 1990s?,Chicago Bulls,medium,1,Accept Bulls
5,Local & Wildcard,What river is famously dyed green for Chicago's St. Patrick's Day celebration?,Chicago River,hard,1,
5,Local & Wildcard,Which Illinois city is home to Northwestern University?,Evanston,hard,1,
Tiebreaker,Number Question,How many feet are in one mile?,5280,medium,0,Closest answer wins
